OPERADORA_PAIS,Date,Population
PE,2023-07,34352719
PE,2023-08,34352719
PE,2023-09,34352719
PE,2023-10,34352719
PE,2023-11,34352719
PE,2023-12,34352719
ES,2018-01,46792043
ES,2018-02,46792043
ES,2018-03,46792043
ES,2018-04,46792043
ES,2018-05,46792043
ES,2018-06,46792043
ES,2018-07,46792043
ES,2018-08,46792043
ES,2018-09,46792043
ES,2018-10,46792043
ES,2018-11,46792043
ES,2018-12,46792043
ES,2019-01,47131372
ES,2019-02,47131372
ES,2019-03,47131372
ES,2019-04,47131372
ES,2019-05,47131372
ES,2019-06,47131372
ES,2019-07,47131372
ES,2019-08,47131372
ES,2019-09,47131372
ES,2019-10,47131372
ES,2019-11,47131372
ES,2019-12,47131372
ES,2020-01,47363807
ES,2020-02,47363807
ES,2020-03,47363807
ES,2020-04,47363807
ES,2020-05,47363807
ES,2020-06,47363807
ES,2020-07,47363807
ES,2020-08,47363807
ES,2020-09,47363807
ES,2020-10,47363807
ES,2020-11,47363807
ES,2020-12,47363807
ES,2021-01,47486935
ES,2021-02,47486935
ES,2021-03,47486935
ES,2021-04,47486935
ES,2021-05,47486935
ES,2021-06,47486935
ES,2021-07,47486935
ES,2021-08,47486935
ES,2021-09,47486935
ES,2021-10,47486935
ES,2021-11,47486935
ES,2021-12,47486935
ES,2022-01,47558630
ES,2022-02,47558630
ES,2022-03,47558630
ES,2022-04,47558630
ES,2022-05,47558630
ES,2022-06,47558630
ES,2022-07,47558630
ES,2022-08,47558630
ES,2022-09,47558630
ES,2022-10,47558630
ES,2022-11,47558630
ES,2022-12,47558630
ES,2023-01,47519628
ES,2023-02,47519628
ES,2023-03,47519628
ES,2023-04,47519628
ES,2023-05,47519628
ES,2023-06,47519628
ES,2023-07,47519628
ES,2023-08,47519628
ES,2023-09,47519628
ES,2023-10,47519628
ES,2023-11,47519628
ES,2023-12,47519628
GB,2018-01,66432994
GB,2018-02,66432994
GB,2018-03,66432994
GB,2018-04,66432994
GB,2018-05,66432994
GB,2018-06,66432994
GB,2018-07,66432994
GB,2018-08,66432994
GB,2018-09,66432994
GB,2018-10,66432994
GB,2018-11,66432994
GB,2018-12,66432994
GB,2019-01,66778659
GB,2019-02,66778659
GB,2019-03,66778659
GB,2019-04,66778659
GB,2019-05,66778659
GB,2019-06,66778659
